"DataValue","LocalDateTime","UTCOffset","DateTimeUTC","SiteCode","VariableCode","MethodCode","SourceCode","QualityControlLevelCode"
"0.00","1997-05-01T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-02T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-03T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-04T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-05T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-06T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-07T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-08T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-09T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-10T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-11T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-12T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-13T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-14T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-15T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-16T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-17T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-18T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-19T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-20T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-21T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-22T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-23T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-24T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-25T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-26T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-27T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-28T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-29T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-30T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-05-31T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-01T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-02T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-03T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-04T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-05T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-06T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-07T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-08T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-09T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-10T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-11T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-12T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-13T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-14T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-15T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-16T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-17T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-18T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-19T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-20T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-21T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-22T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-23T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-24T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-25T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-26T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-27T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-28T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-29T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-06-30T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-01T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-02T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-03T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-04T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-05T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-06T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-07T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-08T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-09T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-10T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-11T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-12T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-13T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-14T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-15T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-16T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-17T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-18T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-19T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-20T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-21T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.25","1997-07-22T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-23T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-24T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-25T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-26T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-27T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-28T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-29T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-30T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-07-31T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-01T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-02T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-03T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-04T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-05T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-06T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-07T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
"0.00","1997-08-08T00:00:00.000Z","NA","NA","046161","PREC","0","41","-9999"
